"No.","Time","Source","Destination","Protocol","Length","Info"
"59988","19:37:02.051998","180.250.13.34","10.107.135.158","DNS","100","Standard query response 0x7c1c A www.googletagmanager.com A 74.125.200.97"
"59989","19:37:02.051998","180.250.13.34","10.107.135.158","DNS","141","Standard query response 0x2bac HTTPS www.googletagmanager.com SOA ns1.google.com"
"59998","19:37:02.075753","10.107.135.158","180.250.13.34","DNS","84","Standard query 0xe7ac A style-assets.tableau.com"
"60001","19:37:02.076121","10.107.135.158","180.250.13.34","DNS","84","Standard query 0xeb8e HTTPS style-assets.tableau.com"
"60011","19:37:02.079920","10.107.135.158","180.250.13.34","DNS","79","Standard query 0x70fd A dc.ads.linkedin.com"
"60012","19:37:02.080220","10.107.135.158","180.250.13.34","DNS","79","Standard query 0xf8eb HTTPS dc.ads.linkedin.com"
"60082","19:37:02.101599","180.250.13.34","10.107.135.158","DNS","235","Standard query response 0xf8eb HTTPS dc.ads.linkedin.com CNAME px.ads.linkedin.com CNAME www.linkedin.com CNAME www-linkedin-com.l-0005.l-msedge.net CNAME l-0005.l-msedge.net SOA ns1.l-msedge.net"
"60114","19:37:02.119587","180.250.13.34","10.107.135.158","DNS","194","Standard query response 0x70fd A dc.ads.linkedin.com CNAME px.ads.linkedin.com CNAME www.linkedin.com CNAME www-linkedin-com.l-0005.l-msedge.net CNAME l-0005.l-msedge.net A 13.107.42.14"
"60180","19:37:02.382360","180.250.13.34","10.107.135.158","DNS","324","Standard query response 0xe7ac A style-assets.tableau.com CNAME d1yebgfo0dkt8.cloudfront.net A 18.64.37.42 A 18.64.37.8 A 18.64.37.83 A 18.64.37.110 NS ns-1269.awsdns-30.org NS ns-1677.awsdns-17.co.uk NS ns-489.awsdns-61.com NS ns-982.awsdns-58.net"
"60240","19:37:02.627392","180.250.13.34","10.107.135.158","DNS","208","Standard query response 0xeb8e HTTPS style-assets.tableau.com CNAME d1yebgfo0dkt8.cloudfront.net SOA ns-1269.awsdns-30.org"
"60611","19:37:04.906457","10.107.135.158","180.250.13.34","DNS","82","Standard query 0xc670 A players.brightcove.net"
